127.0.0.1, 2015-11-21 00:04:26, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 2.795293
127.0.0.1, 2015-11-21 00:05:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.148871
127.0.0.1, 2015-11-21 00:05:26, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 3.492308
127.0.0.1, 2015-11-21 00:05:57, POST, /admin/default/edit/IIIT_placement/controllers/tpo.py, HTTP/1.1, 200, 0.052426
127.0.0.1, 2015-11-21 00:06:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.164164
127.0.0.1, 2015-11-21 00:06:27, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 3.608123
127.0.0.1, 2015-11-21 00:07:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152165
127.0.0.1, 2015-11-21 00:07:26, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 3.449004
127.0.0.1, 2015-11-21 00:08:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083397
127.0.0.1, 2015-11-21 00:08:24, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 0.969732
127.0.0.1, 2015-11-21 00:09:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099659
127.0.0.1, 2015-11-21 00:09:23, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 0.505885
127.0.0.1, 2015-11-21 00:10:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099818
127.0.0.1, 2015-11-21 00:10:24, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 1.054184
127.0.0.1, 2015-11-21 00:10:27, POST, /admin/default/edit/IIIT_placement/views/tpo/home.html, HTTP/1.1, 200, 0.051944
127.0.0.1, 2015-11-21 00:10:30, GET, /IIIT_placement/tpo/home, HTTP/1.1, 303, 0.844540
127.0.0.1, 2015-11-21 00:10:31, GET, /IIIT_placement/default/user/login, HTTP/1.1, 200, 0.668655
127.0.0.1, 2015-11-21 00:10:31, GET, /IIIT_placement/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000692
